Line item,Digikey PN,Description,Qty per unit,Ref Des,Notes
1,311-10KGRCT-ND,"Res, 10K, 0603",2,"R3, R4",
2,311-100KGRCT-ND,"Res, 100K, 0603",1,R2,
3,311-150GRCT-ND,"Res, 150, 0603",3,"R6, R7, R8",
4,490-3895-1-ND,"Cap, 1u, 0603",11,"C2, C3, C5, C6, C8, C10, C11, C12, C13, C15, C17",
5,445-6797-1-ND,"Cap, 22u, 0805",1,C1,
6,311-1371-1-ND,"Cap, 4.7u 0805",1,C14,
7,445-5046-1-ND,"Cap, 9p, 0603",4,"C7, C9, C18, C19",
8,712-1332-1-ND,"Cap, RF, 22p, 0603",1,C16,
9,CG0603MLC-05ECT-ND,"ESD, 0603",3,"D6, D7, D8",
10,507-1519-1-ND,"Fuse, 0805",1,F1,
11,SER3628CT-ND,"Crystal, 16MHz, SMT",1,Y1,
12,887-1505-1-ND,"Crystal, 32KHz, SMT",1,Y2,
13,BAS40-04-FDICT-ND,"Diode, dual series, SOT23",2,"D1, D2",
14,475-1410-1-ND,"LED, green, 0805",1,D3,
15,754-1135-1-ND,"LED, yellow, 0805",1,D4,
16,475-1415-1-ND,"LED, red, 0805",1,D5,
17,ATMEGA128RFA1-ZU-ND,"IC, ATMega128RFA1, QFN64",1,U3,
18,SST25VF080B-80-4I-S2AE-ND,"IC, SPI Flash, 8 MBit, SOIC8",1,U6,
19,712-1538-1-ND,"IC, Balun, 2450 MHz, DFN6",1,U5,
20,MCP1703T-3302E/CBCT-ND,"IC, LDO Reg, 3.3v, SOT23",1,U2,
21,336-2008-5-ND,"IC, CP2104 USB, QFN24",1,U4,
22,MCP121T-195I/LBCT-ND,"IC, MCP121 Reset supervisor, SOT23",1,U1,
23,CP-102A-ND,"Conn, DC Power, PTH",1,J1,
24,H11671CT-ND,"Conn, Mini USB, SMT",1,J2," H11671TR-ND for 1500+, tape and reel"
25,S7014-ND,"Conn, Female header, 1x16, PTH",2,"J3, J4",
26,450-1757-1-ND,"Switch, tactile, SMT, SPST-NO",1,S1,"450-1757-2-ND for 1200+, tape and reel"
27,311-1.0MGRCT-ND,"Res, 100K, 0603",1,R1,